gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984239,ERR2984238,ERR2984249
LRRC10|LRRC10,961,729,627,51,30,31
CCT2|CCT2,9,6,0,7145,5118,3821
MYRFL|MYRFL,3,3,7,0,0,0
RAB3IP|RAB3IP,0,0,0,2737,1577,1294
KCNMB4|KCNMB4,317,228,338,7,0,0
CNOT2|CNOT2,1976,1053,2199,1873,1089,876
LOC101747919|LOC101747919,0,0,0,329,79,45
TSPAN8|TSPAN8,278,301,336,289,117,68
LGR5|LGR5,31,20,27,485,176,84
PTPRB|PTPRB,1643,1151,1643,1184,649,708
PTPRR|PTPRR,922,933,821,0,0,0
LOC112533274|LOC112533274,1086,1239,1168,0,0,0
ZFC3H1|ZFC3H1,1939,1086,1621,4344,3368,3178
TMEM19|TMEM19,43,6,25,2856,2270,1536
RAB21|RAB21,391,281,372,4863,2888,2725
TBC1D15|TBC1D15,1177,780,1035,2609,1781,1697
TPH2|TPH2,190,355,89,0,0,4
CTSEAL|CTSEAL,328,814,627,269909,191690,138409
LOC101748307|LOC101748307,344,357,283,16,0,0
KCNC2|KCNC2,6,4,8,17,5,19
TRHDE|TRHDE,3375,2950,4646,5125,3700,4199
CAPS2|CAPS2,790,704,1019,99,57,31
CCDC107|CCDC107,864,552,797,1127,749,396
GLIPR1L|GLIPR1L,60,53,108,472,321,164
LOC112533299|LOC112533299,55,12,38,0,0,0
PHLDA1|PHLDA1,74,59,162,317,239,140
KRR1|KRR1,1445,610,1006,1148,751,545
NAP1L1|NAP1L1,3,4,19,5164,3300,3223
ZDHHC17|ZDHHC17,0,0,0,556,479,377
CSRP2|CSRP2,2195,1590,1077,760,361,119
E2F7|E2F7,1210,965,1437,17,21,9
BBS10|BBS10,1719,1510,1763,208,176,107
OSBPL8|OSBPL8,0,0,0,2694,1744,1607
LOC101749434|LOC101749434,1205,826,1066,11,8,4
PAWR|PAWR,0,0,0,3349,2169,1926
SYT1|SYT1,4,0,0,18,22,9
LOC112533322|LOC112533322,2239,1661,2231,0,0,0
LOC107052828|LOC107052828,45,20,34,0,0,0
NAV3|NAV3,464,369,494,145,55,60
PPP1R12A|PPP1R12A,290,116,168,1794,1235,1227
LIN7A|LIN7A,488,352,431,51,29,19
LOC101749704|LOC101749704,193,111,156,21,19,27
RPS16|RPS16,2200,1435,2314,20466,11019,8391
ACSS3|ACSS3,299,226,216,4403,2077,2187
LOC107052846|LOC107052846,61,46,60,0,0,0
LOC112533325|LOC112533325,1333,991,1347,11,6,7
LOC112533327|LOC112533327,0,0,0,0,0,0
METTL25|METTL25,13,23,16,212,185,128
LOC112533324|LOC112533324,106558,65393,103200,6,0,5
CCDC59|CCDC59,315,177,314,619,440,262
SLC6A15|SLC6A15,0,0,12,26,5,0
ALX1|ALX1,106,31,37,0,0,0
PPFIA2|PPFIA2,0,0,0,63,47,72
RASSF9|RASSF9,0,7,11,833,553,371
TMTC2|TMTC2,0,0,0,553,297,205
KITLG|KITLG,1151,876,1153,18,12,0
LOC107052880|LOC107052880,897,553,707,0,4,0
DUSP6|DUSP6,15,15,5,509,382,225
LOC101751742|LOC101751742,10,0,0,79,37,30
POC1B|POC1B,9,11,19,608,289,296
GALNT4|GALNT4,5096,6702,6293,837,622,498
LOC107052879|LOC107052879,1391,1057,1860,738,333,220
C1H12orf50|C1H12orf50,0,4,0,1308,839,744
C1H12orf29|C1H12orf29,11,0,3,2081,1323,1091
CEP290|CEP290,90,119,135,165,83,152
TMTC3|TMTC3,0,6,0,1097,779,732
LUM|LUM,239,238,270,1107,724,480
EPYC|EPYC,27,23,23,7,0,10
