"genes","CN_2w_2","CN_2w_1","CN_4w_1","HT_3hr_1","HT_3hr_2","HT_3hr_4"
"HIST1H4B|HIST1H4B",43,173,123,2044,745,715
"HIST1H4I|HIST1H4I",68,241,185,8,13,10
"HIST1H103|HIST1H103",5,7,4,329,384,234
"HIST1H111L|HIST1H111L",13,15,21,18,18,9
"HIST1H2A4L2|HIST1H2A4L2",43,146,100,50,84,30
"HIST1H2A4L3|HIST1H2A4L3",16,75,83,108,106,63
"HIST1H2B5|HIST1H2B5",9,29,39,5,4,2
"HIST1H3H|HIST1H3H",8,52,24,218,258,180
"LOC100857439|LOC100857439",11,38,25,8,13,7
"HIST1H2A4|HIST1H2A4",41,95,78,295,298,186
"HIST2H3|HIST2H3",10,19,5,92,104,49
"HIST1H2A4L1|HIST1H2A4L1",9,33,20,170,143,103
"HIST1H46L6|HIST1H46L6",28,156,75,525,623,238
"HIST1H101|HIST1H101",272,513,408,163,181,119
"HIST1H2B7L2|HIST1H2B7L2",41,78,74,18,30,10
"HIST1H2B7L4|HIST1H2B7L4",13,34,33,280,307,167
"HIST1H2A4L4|HIST1H2A4L4",34,174,119,21,11,13
"HIST1H111R|HIST1H111R",23,37,29,1687,562,700
"APOLD1|APOLD1",16,33,100,105,137,71
"DDX47|DDX47",339,1129,1420,10,11,12
"GPRC5A|GPRC5A",266,1229,1442,36,55,27
"EMP1|EMP1",12,21,28,113,119,64
"HEBP1|HEBP1",3423,10708,13027,1097,1148,996
"FAM234B|FAM234B",633,1859,2650,148,152,110
"ATF7IP|ATF7IP",407,1023,1511,73,114,46
"TTC26|TTC26",11,44,54,41,43,40
"PLBD1|PLBD1",510,1025,2176,21,23,16
"ERR2984226.754|TRNAR-CCU",1,2,0,27,24,24
"FMC1|FMC1",51,162,118,57,49,35
"UBN2|UBN2",388,866,1575,156,191,95
"LOC112531612|LOC112531612",1,2,0,66,61,34
"GBE|GBE",29,88,194,88,54,26
"LUC7L2|LUC7L2",605,2318,2790,18614,7281,6160
"POLDIP3|POLDIP3",341,902,1312,12,10,6
"SOCS1L|SOCS1L",22,45,118,3887,1211,1642
"SERHL2|SERHL2",244,820,851,0,0,0
"TCF20|TCF20",370,879,1484,97,23,35
"MIR1581",0,0,0,2413,896,1100
"NDUFA6|NDUFA6",337,1651,844,2502,1185,1100
"CYP2D6|CYP2D6",3349,12784,14319,74,49,49
"TNFRSF13C|TNFRSF13C",6,7,7,1525,679,531
"WBP2NL|WBP2NL",548,1565,1972,2132,702,1048
"SMDT1|SMDT1",42,284,276,0,1,1
