gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984233,ERR2984242,ERR2984243,ERR2984244,ERR2984245
MOV10L1|MOV10L1,16,0,0,5,42,19,28,19
LOC112533153|LOC112533153,0,0,0,0,0,0,0,0
PANX2|PANX2,56,54,78,32,71,29,19,15
LOC107049700|LOC107049700,14,4,0,10,8,0,9,5
LOC429348|LOC429348,687,160,220,159,155,137,97,52
TRABD|TRABD,2900,1677,2894,1441,3952,953,1118,1187
LOC112533154|LOC112533154,7,0,4,0,0,0,0,0
SELENOO|SELENOO,2020,1431,1487,990,3825,1360,1307,1665
MAPK12|MAPK12,98,86,65,70,136,58,140,118
MAPK11|MAPK11,223,202,253,180,452,128,105,168
TUBGCP6|TUBGCP6,303,143,245,137,579,232,298,345
HDAC10|HDAC10,581,467,415,306,1128,494,593,788
ZNF800|ZNF800,187,138,208,144,379,171,198,218
HYAL6|HYAL6,4,4,14,3,30,9,9,0
ARL8BL|ARL8BL,12,10,15,14,20,34,9,5
LOC107052593|LOC107052593,94,66,33,16,223,18,36,80
POT1|POT1,161,116,151,79,304,117,104,190
MIR1693|MIR1693,0,0,0,0,0,0,0,0
MIR1693,0,0,0,0,0,0,0,0
PLXNB2|PLXNB2,6246,3052,4669,2269,11423,4947,5428,4762
LOC107051595|LOC107051595,6,0,0,0,0,0,0,3
WASL|WASL,949,651,1084,630,2064,763,869,759
IQUB|IQUB,92,93,72,52,169,68,62,61
NDUFA5|NDUFA5,839,1103,1094,1386,1457,908,951,937
SLC13A1|SLC13A1,10,5,12,0,9,0,7,0
ATP6AP1|ATP6AP1,1626,661,1271,939,3134,1737,1722,1791
LOC107052612|LOC107052612,15,5,17,5,9,12,17,19
CADPS2|CADPS2,43,21,40,16,93,78,75,74
PTPRZ1|PTPRZ1,0,3,0,0,0,5,4,0
WNT16|WNT16,6,0,6,6,5,4,4,4
FAM3C|FAM3C,626,312,511,325,982,464,659,594
AASS|AASS,5067,2163,3151,1970,8617,3292,3090,3298
CPED1|CPED1,215,63,142,143,442,137,200,320
MIR1645,0,0,0,0,0,0,0,0
MIR1645|MIR1645,0,0,0,0,0,0,0,0
ING3|ING3,443,277,381,274,653,318,353,350
LSM8|LSM8,159,175,153,143,239,148,180,121
ANKRD26|ANKRD26,222,126,168,97,394,156,258,222
KCND2|KCND2,0,3,6,0,16,0,8,0
CTTNBP2|CTTNBP2,36,14,12,6,55,42,11,31
CFTR|CFTR,29,12,23,9,54,100,0,10
TSPAN12|TSPAN12,4677,4036,4396,3550,10038,5613,7222,6139
LOC101747342|LOC101747342,5,0,0,0,0,0,0,0
ST7|ST7,485,341,502,367,1027,351,433,309
CAPZA2|CAPZA2,2136,1295,2306,1606,4363,2409,1922,2173
CAV2|CAV2,30,23,41,22,56,27,17,20
