"genes","logFC","logCPM","PValue","FDR"
"TMX4",-8.53924534437065,3.61548441241111,1.97469956071927e-72,1.74463631685555e-71
"LOC107053944",-13.3190188870315,4.20848962668964,1.99721832634294e-72,1.7634653415619e-71
"STARD13",-5.74196620770699,4.69702368884566,2.06192555243869e-72,1.81949988513204e-71
"CCDC166",9.18268444359202,6.43332233360725,2.15269057971353e-72,1.89844703930922e-71
"BTBD19",7.60193007669901,3.98299239486137,2.21717879149898e-72,1.95413954645203e-71
"LOC112532497",13.7617638939847,4.66374361070857,2.22828638650848e-72,1.96274556757374e-71
"MIR1607.1",12.6538970092119,3.56454035486092,2.38580280233648e-72,2.10022508135801e-71
"LOC107053986",-8.45810556199755,7.81846667950686,2.4148367057246e-72,2.12450383990088e-71
"RBP7",7.93513500144335,4.85386460275429,2.49235115231647e-72,2.19137950594468e-71
"CAV1",7.67885496969728,6.00787077137819,2.59624929842193e-72,2.28135844845699e-71
"ALYREF",-12.8094000814532,3.70092042010004,2.6421642343455e-72,2.32030925219296e-71
"SEC61A2",-12.8114545578064,3.7036356168776,2.92750460325746e-72,2.56934683287695e-71
"LOC112532119",13.1233280623613,4.02971806993152,3.09165290536226e-72,2.71178414802273e-71
"LOC101751153",12.9127365117406,3.82091374367937,3.2373709999352e-72,2.8378945664099e-71
"FBXL8",-12.586666189542,3.47660701539775,3.2666414173826e-72,2.86183639281846e-71
"TRAPPC4",-9.85090939023987,3.80934972962028,3.49590009897974e-72,3.06085009864535e-71
"PDGFA",7.79801249662498,5.14197953504485,3.544981616475e-72,3.10196505158977e-71
"SLC38A4",-5.45777439235501,7.97601211339631,3.69794555423213e-72,3.23387662381772e-71
"RPS11",-9.4255336340131,7.60548697446951,3.71161218956127e-72,3.24388689749155e-71
"PPP1CA",-9.43476791312689,5.21019872489326,3.86691393522894e-72,3.37759792800361e-71
"ERR2984226.24509",10.5174656379685,4.73411064047364,4.01649520465676e-72,3.50615558098263e-71
"ASB11",13.4988823977991,4.40258541074812,4.41983480535213e-72,3.8559430454096e-71
"SYNE2",-8.03205150575831,5.05706377892672,4.64538447587444e-72,4.05029852899482e-71
"GNL2",-12.4948857946095,3.38572981856835,4.88605978307724e-72,4.25760236196229e-71
"LOC100858629",13.9362727352087,4.83745558767189,5.06878465814586e-72,4.41419250354502e-71
"DENND5B",-5.7720528959703,6.23460924458822,5.21548841086289e-72,4.53924551208692e-71
"GNA12",-12.7358252303487,3.62587057739108,5.26782874303588e-72,4.5820703227371e-71
"CACNG5",13.2082846926199,4.11395477727706,5.36324718047048e-72,4.66229215039948e-71
"LOC107049189",7.56422229376799,6.51662553931006,5.39779329384132e-72,4.6895334960109e-71
"FAM117B",-13.4235855132406,4.31441573885486,5.42145065777724e-72,4.70728808449785e-71
"CAPN2",6.81848756722788,7.10049412660225,5.62022164612622e-72,4.87697737024005e-71
"LOC427618",8.80822389964443,4.13855180314642,5.86369678086428e-72,5.08523448419998e-71
"PRRT1B",-13.1541461123592,4.04573706598467,5.89300848583656e-72,5.10762354706582e-71
"SEC22C",-12.3782558392694,3.26767688474436,5.9667896727345e-72,5.1685060751434e-71
"SMIM19",-8.90496652761187,4.34398329996039,7.57407975478489e-72,6.55687366449476e-71
"URM1",-13.5554387257827,4.44684952097034,7.62524948995554e-72,6.5972629246134e-71
"USP15",-7.65619197677196,4.48522852532082,8.17314552851e-72,7.0671109827288e-71
"TMSB4X",-7.13739719927753,6.78188578304868,8.31986499916873e-72,7.18972130294812e-71
"SARAF",-5.71220509551051,5.18458733304038,9.70504813577272e-72,8.38178891300513e-71
"SLC25A11",-13.4398189200228,4.3317449463147,9.77592765356212e-72,8.43801717669836e-71
"SOX4",7.37480523515529,4.68035861590762,1.13314577979225e-71,9.77488741446523e-71
"LOC107053127",12.9193087271469,3.82739210415322,1.14420394725055e-71,9.86445562311048e-71
"LOC112532276",8.88840339942231,10.3508060265321,1.26171386011046e-71,1.08711230175673e-70
