genes	rank
TMEM41B|TMEM41B	2.72947557736937
LOC107057459|LOC107057459	-2.72868068940095
SLC47A1|SLC47A1	-2.72744173852032
LOC107053443|LOC107053443	2.72701006236226
PPP1CA|PPP1CA	-2.72340589503738
CFAP73|CFAP73	2.71980191749054
E2F3|E2F3	-2.71935643335257
TSTA3|TSTA3	-2.71907110107265
SNX10|SNX10	-2.71756838690291
KRT18|KRT18	-2.71705788028521
RFFL|RFFL	2.71295281497972
TSSC4|TSSC4	-2.71151763251239
CENPK|CENPK	-2.70915957584555
HIST1H101|HIST1H101	2.70632062253703
TBL2|TBL2	-2.70058631331466
LOC101748063|LOC101748063	2.70055161892942
PELI2|PELI2	2.69918694640947
PTGES2|PTGES2	-2.69794151315577
TRPC4AP|TRPC4AP	2.69727896160975
PSEN1|PSEN1	2.69707013796422
KLB|KLB	2.69647955279049
CACNA2D1|CACNA2D1	2.6919228990162
PTPN5|PTPN5	2.69084667439461
FARSA|FARSA	-2.68980071107661
AIFM1|AIFM1	-2.6896808526131
SLC25A10|SLC25A10	-2.68830666159378
DNAJC17|DNAJC17	-2.68373428177571
GRSF1|GRSF1	-2.68324360282988
NPM3|NPM3	-2.6790544399649
SLC16A12|SLC16A12	2.67272072492438
WDR4|WDR4	-2.67218043458346
CD38|CD38	2.66928683577869
LOC415662|LOC415662	-2.66595100810806
KYAT3|KYAT3	2.66394317851162
NHP2|NHP2	-2.66348768159034
PHKG1|PHKG1	-2.66268138914212
USP14|USP14	-2.66216017214889
POLR2I|POLR2I	-2.66121998953252
PIKFYVE|PIKFYVE	2.65697269995214
COG8|COG8	-2.6556743141041
PPDPF|PPDPF	-2.65550482292515
TXNDC11|TXNDC11	-2.65519076003858
GPR27|GPR27	-2.65471887900501
NARF|NARF	2.65326923450792
SLCO1B3|SLCO1B3	2.64973579064148
DNAJB9|DNAJB9	-2.64668517180173
MSMB|MSMB	-2.64597134267007
CADPS2|CADPS2	2.64417698897517
MMAB|MMAB	-2.64361119036324
CTSV|CTSV	2.63984412952066
VPS13D|VPS13D	2.63502002919284
SLC20A2|SLC20A2	2.63417018856529
RRP8|RRP8	-2.63383108741961
KIAA0430|KIAA0430	2.63137806035813
EIF2S3|EIF2S3	2.63113091222005
TNFRSF8|TNFRSF8	2.63026911868778
ARL10|ARL10	-2.62977183518316
LAMB3|LAMB3	-2.62919209104158
MED24|MED24	-2.62535094989596
NCALD|NCALD	2.62394308781567
UTP6|UTP6	-2.62123628706495
GTF2F2|GTF2F2	-2.61929707022691
CPEB3|CPEB3	2.61832072392253
MEMO1|MEMO1	-2.61254850495265
LOC107053945|LOC107053945	2.61079064558992
PEMT|PEMT	-2.60849091813638
LOC112531294|LOC112531294	-2.60789087757304
TBXAS1|TBXAS1	2.60750209129164
MHCIY|MHCIY	-2.60465074714148
DNTTIP1|DNTTIP1	-2.60335848377724
PTRHD1|PTRHD1	-2.6028917718692
SNRPD1|SNRPD1	-2.60039504876877
CNPY2|CNPY2	-2.60006629729204
LOC101748581|LOC101748581	2.59658153780344
AATK|AATK	2.5950019792466
