gene_id,ERR2984226,ERR2984227,ERR2984230,ERR2984246,ERR2984239,ERR2984238,ERR2984244,ERR2984249
C1H12ORF66|C1H12ORF66,892,3728,1840,3134,5807,4069,1948,2741
RPL18A|RPL18A,1517,11015,4231,4542,13485,6302,3029,4045
LOC112531625|LOC112531625,1,1,1,1,1,1,1,1
XPOT|XPOT,766,2495,1305,3319,4519,2923,2032,2393
TBK1|TBK1,102,771,349,948,1891,998,772,1241
RASSF3|RASSF3,1650,6982,3688,9125,18872,15052,8675,6725
TBC1D30|TBC1D30,223,694,321,768,1054,922,492,677
LEMD3|LEMD3,166,532,274,587,762,660,363,474
GNS|GNS,3118,7321,4955,13119,19734,12424,8586,9611
HMGA2|HMGA2,0,12,0,0,11,3,8,5
MSRB3|MSRB3,364,1244,616,1248,3519,1515,1341,1562
LLPH|LLPH,211,1167,502,654,1192,1000,473,498
TMBIM4|TMBIM4,174,540,404,818,1240,800,666,626
HELB|HELB,421,1226,729,1575,2483,1973,783,1080
IFNG|IFNG,4,6,3,12,29,8,0,8
GRIP1|GRIP1,0,5,6,23,21,6,0,0
CAND1|CAND1,676,1801,1061,3049,3244,2335,1328,2337
LOC112531553|LOC112531553,0,0,0,0,0,0,0,0
DYRK2|DYRK2,90,283,228,434,761,495,394,554
MDM1|MDM1,136,378,301,485,853,493,300,386
LOC101752108|LOC101752108,17,39,20,61,93,63,31,46
SLC35E3|SLC35E3,439,2122,1246,2365,2744,2390,593,1490
RAP1B|RAP1B,603,1923,1166,2486,4097,2298,1290,1877
NUP107|NUP107,355,981,924,1452,1663,1231,769,1081
CPM|CPM,13,12,7,45,97,33,22,18
MDM2|MDM2,647,2226,1091,2947,3258,2836,1650,2232
FRS2|FRS2,149,367,281,738,862,620,393,520
CPSF6|CPSF6,440,1199,798,1694,2374,1981,911,1613
LOC107052751|LOC107052751,81,290,341,264,589,411,168,229
LYZ|LYZ,114,382,813,520,930,1130,1886,447
YEATS4|YEATS4,149,617,357,514,966,722,303,532
LRRC10|LRRC10,4,13,4,7,51,30,3,31
CCT2|CCT2,1415,5584,2959,5770,7145,5118,2299,3821
MYRFL|MYRFL,7,8,0,7,0,0,10,0
RAB3IP|RAB3IP,309,1069,707,1295,2737,1577,955,1294
KCNMB4|KCNMB4,0,0,0,12,7,0,0,0
CNOT2|CNOT2,276,845,554,1289,1873,1089,659,876
LOC101747919|LOC101747919,12,29,12,48,329,79,82,45
TSPAN8|TSPAN8,32,73,53,186,289,117,35,68
LGR5|LGR5,25,125,60,147,485,176,104,84
PTPRB|PTPRB,459,576,615,1999,1184,649,981,708
PTPRR|PTPRR,5,12,4,8,0,0,0,0
LOC112533274|LOC112533274,0,0,0,0,0,0,0,0
ZFC3H1|ZFC3H1,972,1616,1596,4241,4344,3368,2654,3178
TMEM19|TMEM19,505,1581,966,1869,2856,2270,1221,1536
RAB21|RAB21,639,1892,1512,2663,4863,2888,1807,2725
TBC1D15|TBC1D15,485,811,831,1884,2609,1781,1516,1697
TPH2|TPH2,4,0,0,0,0,0,0,4
CTSEAL|CTSEAL,33326,120379,65393,129352,269909,191690,85968,138409
LOC101748307|LOC101748307,0,0,0,0,16,0,0,0
KCNC2|KCNC2,0,13,0,7,17,5,0,19
TRHDE|TRHDE,765,1938,1659,3321,5125,3700,3003,4199
CAPS2|CAPS2,10,30,19,64,99,57,32,31
CCDC107|CCDC107,152,388,369,675,1127,749,456,396
GLIPR1L|GLIPR1L,105,97,117,529,472,321,201,164
LOC112533299|LOC112533299,0,0,0,0,0,0,0,0
PHLDA1|PHLDA1,45,164,111,276,317,239,114,140
KRR1|KRR1,173,446,353,609,1148,751,456,545
NAP1L1|NAP1L1,805,2241,1437,2907,5164,3300,2001,3223
ZDHHC17|ZDHHC17,120,300,229,513,556,479,341,377
CSRP2|CSRP2,114,254,176,542,760,361,222,119
E2F7|E2F7,11,9,24,25,17,21,11,9
BBS10|BBS10,24,92,47,109,208,176,71,107
OSBPL8|OSBPL8,494,1732,991,2257,2694,1744,1052,1607
LOC101749434|LOC101749434,9,0,0,0,11,8,4,4
PAWR|PAWR,407,1048,876,1501,3349,2169,1567,1926
SYT1|SYT1,4,15,7,18,18,22,0,9
LOC112533322|LOC112533322,0,0,0,0,0,0,0,0
LOC107052828|LOC107052828,0,0,0,0,0,0,0,0
NAV3|NAV3,46,68,31,214,145,55,75,60
PPP1R12A|PPP1R12A,338,793,559,1422,1794,1235,784,1227
LIN7A|LIN7A,9,17,15,13,51,29,15,19
LOC101749704|LOC101749704,11,25,11,16,21,19,28,27
RPS16|RPS16,2777,12406,6708,8582,20466,11019,6827,8391
ACSS3|ACSS3,577,1918,1059,2068,4403,2077,1395,2187
