gene_id,CN_2w_2,CN_2w_1,CN_3hr_3,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_3,HT_3hr_4
MDM1|MDM1,136,378,301,485,3791,1914,2219,1952
LOC101752108|LOC101752108,17,39,20,61,5328,3982,3890,3026
SLC35E3|SLC35E3,439,2122,1246,2365,1,1,1,1
RAP1B|RAP1B,603,1923,1166,2486,4563,2060,1900,2049
NUP107|NUP107,355,981,924,1452,1227,574,918,767
CPM|CPM,13,12,7,45,12493,5789,8365,8674
MDM2|MDM2,647,2226,1091,2947,1169,398,320,492
FRS2|FRS2,149,367,281,738,729,248,367,361
CPSF6|CPSF6,440,1199,798,1694,19213,8210,8588,8584
LOC107052751|LOC107052751,81,290,341,264,2606,1048,1219,1340
LYZ|LYZ,114,382,813,520,588,398,482,473
YEATS4|YEATS4,149,617,357,514,1123,718,586,666
LRRC10|LRRC10,4,13,4,7,1733,833,1128,782
CCT2|CCT2,1415,5584,2959,5770,0,0,0,0
MYRFL|MYRFL,7,8,0,7,7,4,0,0
RAB3IP|RAB3IP,309,1069,707,1295,0,0,0,0
KCNMB4|KCNMB4,0,0,0,12,635,352,329,392
CNOT2|CNOT2,276,845,554,1289,4025,1420,1073,1325
LOC101747919|LOC101747919,12,29,12,48,4,0,0,10
TSPAN8|TSPAN8,32,73,53,186,763,384,342,294
LGR5|LGR5,25,125,60,147,90,31,61,31
PTPRB|PTPRB,459,576,615,1999,2684,1579,1460,1247
PTPRR|PTPRR,5,12,4,8,1968,876,701,802
LOC112533274|LOC112533274,0,0,0,0,2171,753,925,592
ZFC3H1|ZFC3H1,972,1616,1596,4241,3593,1274,1525,1650
TMEM19|TMEM19,505,1581,966,1869,57,32,22,22
RAB21|RAB21,639,1892,1512,2663,700,326,360,393
TBC1D15|TBC1D15,485,811,831,1884,2195,991,821,910
TPH2|TPH2,4,0,0,0,343,125,234,168
CTSEAL|CTSEAL,33326,120379,65393,129352,546,4058,455,1886
LOC101748307|LOC101748307,0,0,0,0,561,264,386,303
KCNC2|KCNC2,0,13,0,7,13,0,7,3
TRHDE|TRHDE,765,1938,1659,3321,7264,2623,2242,2295
CAPS2|CAPS2,10,30,19,64,1925,982,1142,953
CCDC107|CCDC107,152,388,369,675,1456,650,775,660
GLIPR1L|GLIPR1L,105,97,117,529,107,52,46,34
LOC112533299|LOC112533299,0,0,0,0,60,18,65,82
PHLDA1|PHLDA1,45,164,111,276,165,121,93,104
KRR1|KRR1,173,446,353,609,2774,883,646,980
NAP1L1|NAP1L1,805,2241,1437,2907,4,0,0,0
ZDHHC17|ZDHHC17,120,300,229,513,0,0,0,0
CSRP2|CSRP2,114,254,176,542,5270,2050,1984,2657
E2F7|E2F7,11,9,24,25,2477,1180,1105,1223
BBS10|BBS10,24,92,47,109,3875,1714,1765,1807
OSBPL8|OSBPL8,494,1732,991,2257,3,0,0,0
LOC101749434|LOC101749434,9,0,0,0,2657,1405,1162,1511
PAWR|PAWR,407,1048,876,1501,7,11,0,0
SYT1|SYT1,4,15,7,18,15,9,0,0
LOC112533322|LOC112533322,0,0,0,0,5325,2128,2382,3003
LOC107052828|LOC107052828,0,0,0,0,93,35,34,27
NAV3|NAV3,46,68,31,214,820,340,429,453
PPP1R12A|PPP1R12A,338,793,559,1422,337,211,192,199
LIN7A|LIN7A,9,17,15,13,803,439,474,447
LOC101749704|LOC101749704,11,25,11,16,303,165,132,114
RPS16|RPS16,2777,12406,6708,8582,4747,2580,2328,1999
ACSS3|ACSS3,577,1918,1059,2068,565,201,247,340
LOC107052846|LOC107052846,5,0,4,0,118,102,90,71
LOC112533325|LOC112533325,0,4,0,10,2552,924,942,1051
