gene_id	rank
ANAPC13	-2.34830486304816
ANAPC15	-2.85672889038288
ANAPC16	-2.89320675305985
ANAPC2	-2.74585519517373
ANAPC4	-2.88986172125819
ANAPC5	-3.1156105116743
ANAPC7	-2.79865064544527
ANGEL1	-3.51401618040065
ANGEL2	-2.60638136511061
ANGPT1	-1.79239168949825
ANGPT2	-1.90308998699194
ANGPT4	-2.20682587603185
ANGPTL1	-0.301029995663981
ANGPTL2	-2.11727129565576
ANGPTL3	-4.24504357393061
ANGPTL4	-3.56773196254807
ANGPTL7	-0.477121254719662
ANGPTRL1	-0.903089986991944
ANGPTRL2	-1.20411998265592
ANK1	-2.21748394421391
ANK2	-1.50514997831991
ANK3	-3.64914006414422
ANKDD1A	-2.09342168516224
ANKDD1B	-1.66275783168157
ANKEF1	-0.845098040014257
ANKFN1L	-1.70757017609794
ANKFY1	-3.47813342810052
ANKH	-3.46134843364798
ANKHD1	-3.15014216184856
ANKIB1	-2.7979596437372
ANKLE1	-1.72427586960079
ANKLE2	-3.01325866528352
ANKMY1	-2.13033376849501
ANKMY2	-2.99078269180314
ANKRA2	-2.79309160017658
ANKRD1	-0.698970004336019
ANKRD10	-2.45331834004704
ANKRD11	-3.29003461136252
ANKRD12	-2.61066016308988
ANKRD13A	-3.04999285692014
ANKRD13B	-1.25527250510331
ANKRD13C	-2.93500315145365
ANKRD13D	-1.89209460269048
ANKRD16	-2.38021124171161
ANKRD17	-3.33081946649584
ANKRD2	-1.27875360095283
ANKRD22	-1.11394335230684
ANKRD26	-2.34635297445064
ANKRD27	-2.76937732607614
ANKRD28	-2.87966920563205
ANKRD29	-1.14612803567824
ANKRD31	-1.98677173426624
ANKRD33	-2.05307844348342
ANKRD33B	-2.08278537031645
ANKRD34B	-2.57403126772772
ANKRD34C	-0.602059991327962
ANKRD39	-2.09342168516224
ANKRD40	-2.07918124604762
ANKRD40L	-2.85125834871908
ANKRD42	-1.27875360095283
ANKRD44	-2.987219229908
ANKRD46	-2.89762709129044
ANKRD49	-2.44404479591808
ANKRD50	-2.45636603312904
ANKRD52	-2.46538285144842
ANKRD54	-2.67209785793572
ANKRD6	-2.34242268082221
ANKRD60	-1.39794000867204
ANKRD61	-0.954242509439325
