"genes","logFC","logCPM","PValue","FDR"
"FAM169A",-5.30296596,0.50589293,1.51893365491938e-14,2.47220204458827e-14
"CCNE1",-1.905487303,4.356717828,1.53733702824842e-14,2.50189333220961e-14
"LOC101751446",3.917179846,2.494693527,1.53838439346625e-14,2.50333584328173e-14
"FGFBP1",-4.268491491,1.035267177,1.55547394666841e-14,2.53087996972835e-14
"LOC107051978",8.928367002,-0.254351355,1.56803912071079e-14,2.55105757763683e-14
"COL8A2",-4.242706884,4.086576274,1.59463310642972e-14,2.5940521817117e-14
"LOC101750312",-3.160174423,1.303217139,1.62848374586159e-14,2.64884123934599e-14
"MRPL37",6.064888025,3.710476303,1.63215836802036e-14,2.65454059436424e-14
"LOC107054048",-8.102329251,-1.213246317,1.6798783394494e-14,2.73186657377516e-14
"PDZD2",-2.816404041,3.174184346,1.68724755753723e-14,2.74356368500511e-14
"LRRC15",8.938015114,-0.249095249,1.69270942475884e-14,2.75215720984942e-14
"EWSR1",2.388887306,4.515892671,1.71118613603099e-14,2.78190741403887e-14
"WDR48",1.945240963,3.744217154,1.71740414677052e-14,2.79172428207e-14
"DPH6",-2.137843629,4.25218509,1.77895019036988e-14,2.89146811542298e-14
"TMEM238",-3.320371983,1.836458788,1.80745033347942e-14,2.93748460342862e-14
"ATG4C",4.373565808,2.4451365,1.81851168966079e-14,2.95515276144062e-14
"MIRLET7A2",-8.718603324,-0.606918968,1.89014653536444e-14,3.07124123562352e-14
"AMY1A",6.083985452,7.815718048,1.89582073681525e-14,3.08013921820887e-14
"PLP1",9.109068801,-0.105040227,1.96034627233468e-14,3.18464109222778e-14
"LOC107053451",-5.14475516,0.407714924,1.97067798244633e-14,3.20109084164216e-14
"T",8.012537387,-1.088079903,2.00116274557403e-14,3.2502695522954e-14
"DSP",-2.395086776,4.653970997,2.00414370829324e-14,3.2547712442778e-14
"TRPT1",-2.573735039,2.377723265,2.03589398440446e-14,3.30598908286229e-14
"VWA5B1",-2.35315447,2.958025012,2.04450328945498e-14,3.31962265333873e-14
"LOC112532555",-4.766071225,6.5399527,2.08660234908381e-14,3.38762440261571e-14
"CPNE4",5.942763391,1.609462556,2.124014068924e-14,3.44800279483956e-14
"CDK2AP1",4.265102489,-0.129316695,2.14273643918495e-14,3.47803252915721e-14
"AMHR2",8.171369329,-0.940817737,2.15459937982696e-14,3.49692311411222e-14
"DMBT1",1.806223975,7.583270321,2.16083895644878e-14,3.50668396710275e-14
"CWC25",-1.834831337,4.151703723,2.18121660480206e-14,3.53938413906626e-14
"MANBAL1",1.689724656,4.609482733,2.21990405970937e-14,3.60178507183646e-14
"LOC112530392",-6.674732477,0.964844082,2.24959411244137e-14,3.64957625962058e-14
"TGM2_1",3.097611077,5.812041895,2.25776237315716e-14,3.66244574406361e-14
"LOC112533133",-5.676425772,-1.153984423,2.26394400639108e-14,3.67209025757602e-14
"LOC107050620",5.565529337,2.224263292,2.28000677222529e-14,3.69775816730322e-14
"EIF2B2",-1.612259128,5.17129057,2.28256727630083e-14,3.70152478323891e-14
"BPTF",6.466663505,4.2098883,2.29918812918936e-14,3.72808919800777e-14
"SGTB",4.517190825,3.166907777,2.31429360459473e-14,3.7521911741683e-14
"LOC107054226",-3.367412715,3.147244714,2.32929997771811e-14,3.77612746596295e-14
"LOC112531773",7.969253311,-1.124771914,2.35422764917863e-14,3.8161409303375e-14
"LOC112532764",8.422916293,-0.717371308,2.39756290188967e-14,3.88598114700692e-14
"AGTR1",-4.098213739,2.673752935,2.40038212496139e-14,3.89014508005727e-14
"CST7",-2.650582778,3.245408217,2.46948811930754e-14,4.00172366144562e-14
"GDF3",-2.325706864,2.984338198,2.48431232466608e-14,4.02532631536496e-14
"SGSM3",-1.838823407,4.613770572,2.50715698579356e-14,4.06191822557719e-14
"KARS",1.734999926,6.469898375,2.51441423212112e-14,4.07325151677085e-14
"LOC112531494",-8.185697731,-1.140193918,2.51659013445004e-14,4.07635172819772e-14
"ICMT",-1.815916028,5.393196651,2.56430370311177e-14,4.15320514356713e-14
"COL4A1",2.277841794,4.306285342,2.58015068995626e-14,4.17843607881898e-14
"MIR7442.1",-8.314768677,-1.01922527,2.64434274246576e-14,4.28194622985968e-14
"LOC107050363",2.218276715,3.689686748,2.73264792283511e-14,4.42447680134172e-14
"ARF4",2.592695452,6.95602459,2.7580304952799e-14,4.4651092349404e-14
"LAMA3",5.544461479,0.70763418,2.76123586150227e-14,4.46983319241726e-14
"KIAA1549L",-8.022051586,-1.273944789,2.76479204262798e-14,4.4751239994655e-14
"THADA",-1.663194645,3.949223475,2.7948266341778e-14,4.52326750223405e-14
"MIR1695",-8.20540613,-1.122688117,2.79634952795724e-14,4.52526123006922e-14
"LOC107054555",-8.368749889,-0.95154482,2.79979509975412e-14,4.5303656400808e-14
"CRISPLD1",4.983506366,0.516082333,2.82073936370189e-14,4.56378078301575e-14
"NARF",3.24073514,3.627431732,2.85137916722918e-14,4.61287412093359e-14
"INTS7",-1.944045319,4.761798814,2.90406152551798e-14,4.69761330716785e-14
"GSTT1",2.290182366,7.037856232,2.97838642041905e-14,4.8173402160928e-14
"TCEANC2",-2.535066034,3.400639577,3.0024562660848e-14,4.8557665041725e-14
"LOC112531500",-10.123618,0.744144398,3.007835510293e-14,4.86396029378704e-14
"LOC101748820",-2.739447142,1.401407653,3.01844251697545e-14,4.88060529676284e-14
"LOC101750503",-3.577166817,2.044779818,3.08662687675037e-14,4.99033561379375e-14
"RAC3",1.764723361,4.698502246,3.09077987970246e-14,4.99653052597705e-14
