gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_4
LOC107049439|LOC107049439,0,0,0,13,5,0
BRD1|BRD1,267,558,1232,1375,678,880
ZBED4|ZBED4,282,643,1167,93,12,20
LOC112533147|LOC112533147,51,166,197,625,285,350
LOC107050376|LOC107050376,0,0,0,547,250,345
PIM3|PIM3,688,1432,1725,688,296,287
LOC101748415|LOC101748415,0,0,0,222,109,59
LOC107050120|LOC107050120,0,0,0,613,167,201
MOV10L1|MOV10L1,0,26,50,1301,419,378
LOC107049700|LOC107049700,0,0,14,107,494,27
LOC112533153|LOC112533153,0,0,0,2306,925,934
PANX2|PANX2,21,76,89,0,7,0
LOC429348|LOC429348,80,118,61,1828,649,783
ALG12|ALG12,1728,6792,8278,0,2,0
CRELD2|CRELD2,1661,11467,10309,0,0,0
TRABD|TRABD,772,2313,2618,0,0,0
LOC112533154|LOC112533154,0,0,0,0,0,0
SELENOO|SELENOO,556,1724,2337,1538,740,871
MAPK12|MAPK12,32,77,108,1457,572,493
MAPK11|MAPK11,83,236,327,0,0,0
TUBGCP6|TUBGCP6,106,218,454,0,0,0
HDAC10|HDAC10,221,588,666,200,106,221
ARL8BL|ARL8BL,11,26,20,2220,1342,2187
ZNF800|ZNF800,89,265,301,12037,5586,6074
LOC107052593|LOC107052593,30,13,37,13899,6663,3064
POT1|POT1,82,196,237,42,19,19
ASB15|ASB15,0,0,0,0,0,0
WASL|WASL,347,946,1248,71,29,15
LOC107051595|LOC107051595,0,0,8,8,0,5
MIR1693|MIR1693,0,0,0,155,137,52
MIR1693,0,0,0,3952,953,1187
PLXNB2|PLXNB2,2046,4517,8837,0,0,0
IQUB|IQUB,34,70,78,3825,1360,1665
NDUFA5|NDUFA5,513,2366,1498,136,58,118
SLC13A1|SLC13A1,6,0,21,452,128,168
ATP6AP1|ATP6AP1,483,1140,2799,579,232,345
LOC107052612|LOC107052612,6,2,33,1128,494,788
CADPS2|CADPS2,17,42,76,379,171,218
WNT16|WNT16,0,0,3,30,9,0
FAM3C|FAM3C,179,566,775,20,34,5
PTPRZ1|PTPRZ1,0,0,13,223,18,80
AASS|AASS,1121,3866,6228,304,117,190
CPED1|CPED1,85,116,200,0,0,0
MIR1645,0,0,0,0,0,0
MIR1645|MIR1645,0,0,0,11423,4947,4762
ING3|ING3,162,359,597,0,0,3
LSM8|LSM8,68,274,188,2064,763,759
LOC112533181|LOC112533181,0,0,0,169,68,61
ANKRD26|ANKRD26,72,199,419,1457,908,937
CTTNBP2|CTTNBP2,15,16,71,9,0,0
CFTR|CFTR,0,12,31,3134,1737,1791
TSPAN12|TSPAN12,1715,4731,5724,9,12,19
KCND2|KCND2,0,6,0,93,78,74
LOC101747342|LOC101747342,0,0,0,0,5,0
ST7|ST7,146,707,622,5,4,4
CAPZA2|CAPZA2,886,2193,3563,982,464,594
CAV1|CAV1,9,14,35,8617,3292,3298
CAV2|CAV2,20,46,77,442,137,320
TES|TES,43,68,170,0,0,0
LOC112533188|LOC112533188,4,3,5,0,0,0
TFEC|TFEC,11,9,47,653,318,350
MDFIC|MDFIC,92,277,428,239,148,121
MET|MET,872,1609,2498,394,156,222
LOC112533184|LOC112533184,12,7,51,16,0,0
GPR85|GPR85,0,0,0,55,42,31
LOC107052654|LOC107052654,2,0,0,54,100,10
LOC107052650|LOC107052650,218,484,968,10038,5613,6139
BMT2|BMT2,52,96,329,0,0,0
TMEM168|TMEM168,357,715,1157,1027,351,309
FOXP2|FOXP2,325,741,1249,4363,2409,2173
LOC112533189|LOC112533189,0,5,0,56,27,20
ZNF277|ZNF277,56,211,243,21,21,12
IFRD1|IFRD1,698,4044,4126,107,126,73
DOCK4|DOCK4,69,120,354,0,0,0
DNAJB9|DNAJB9,433,1944,2756,27,25,20
THAP5|THAP5,106,420,805,3450,1590,2353
PNPLA8|PNPLA8,248,455,790,16,6,11
IMMP2L|IMMP2L,123,451,431,431,225,197
LRRN3|LRRN3,0,0,8,4,0,0
CNTN1|CNTN1,0,0,21,931,677,403
GXYLT1|GXYLT1,94,253,471,1670,1588,804
YAF2|YAF2,113,323,444,0,0,3
PDZRN4|PDZRN4,9,0,10,357,166,189
ZCRB1|ZCRB1,136,498,602,1671,993,904
PPHLN1|PPHLN1,133,331,443,12,12,8
MIR7447,0,0,0,335,149,126
MIR7447|MIR7447,0,1,0,4729,2776,4235
PRICKLE1|PRICKLE1,39,66,154,390,155,184
PUS7L|PUS7L,118,275,316,656,386,282
IRAK4|IRAK4,181,640,807,0,0,0
TWF1|TWF1,297,1188,1061,2489,963,576
ANO6|ANO6,3,10,36,814,362,305
LOC112533246|LOC112533246,23,50,107,1262,713,929
NELL2|NELL2,342,816,1110,18,15,0
LOC101749362|LOC101749362,90,314,300,23,11,5
ARID2|ARID2,242,557,828,5,4,10
